order_id,assignment_id,user_id,assistment_id,problem_id,original,correct,attempt_count,ms_first_response,tutor_mode,answer_type,sequence_id,student_class_id,position,type,base_sequence_id,skill_id,skill_name,teacher_id,school_id,hint_count,hint_total,overlap_time,template_id,answer_id,answer_text,first_action,bottom_hint,opportunity,opportunity_original
33022537,277618,64525,33139,51424,1,1,1,32454,tutor,algebra,5948,13241,126,MasterySection,5948,1,Box and Whisker,22763,73,0,3,32454,30799,,26,0,,1,1
33022709,277618,64525,33150,51435,1,1,1,4922,tutor,algebra,5948,13241,126,MasterySection,5948,1,Box and Whisker,22763,73,0,3,4922,30799,,55,0,,2,2
35450204,220674,70363,33159,51444,1,0,2,25390,tutor,algebra,5948,11816,22,MasterySection,5948,1,Box and Whisker,22763,73,0,3,42000,30799,,88,0,,1,1
35450295,220674,70363,33110,51395,1,1,1,4859,tutor,algebra,5948,11816,22,MasterySection,5948,1,Box and Whisker,22763,73,0,3,4859,30059,,41,0,,2,2
35450311,220674,70363,33196,51481,1,0,14,19813,tutor,algebra,5948,11816,22,MasterySection,5948,1,Box and Whisker,22763,73,3,4,124564,30060,,65,0,0,3,3
35450555,220674,70363,33172,51457,1,1,1,16031,tutor,algebra,5948,11816,22,MasterySection,5948,1,Box and Whisker,22763,73,0,4,16031,30060,,12,0,,4,4
35450573,220674,70363,33174,51459,1,1,1,15047,tutor,algebra,5948,11816,22,MasterySection,5948,1,Box and Whisker,22763,73,0,4,15047,30060,,6,0,,5,5
35480603,220674,70363,33123,51408,1,1,1,10732,tutor,algebra,5948,11816,22,MasterySection,5948,1,Box and Whisker,22763,73,0,3,10732,30059,,55,0,,6,6
33140811,220674,70677,33168,51453,1,1,1,23241,tutor,algebra,5948,11816,22,MasterySection,5948,1,Box and Whisker,22763,73,0,4,23241,30060,,12,0,,1,1
33140919,220674,70677,33112,51397,1,1,1,11512,tutor,algebra,5948,11816,22,MasterySection,5948,1,Box and Whisker,22763,73,0,2,11512,30059,,36,0,,2,2
33275447,277618,70695,33149,51434,1,1,1,14891,tutor,algebra,5948,13241,126,MasterySection,5948,1,Box and Whisker,22763,73,0,3,14891,30799,,79,0,,1,1
33275494,277618,70695,33188,51473,1,1,1,32844,tutor,algebra,5948,13241,126,MasterySection,5948,1,Box and Whisker,22763,73,0,4,32844,30060,,18,0,,2,2
35222057,277618,70699,33145,51430,1,1,1,38860,tutor,algebra,5948,13241,126,MasterySection,5948,1,Box and Whisker,22763,73,0,3,38860,30799,,66,0,,1,1
35222063,277618,70699,33151,51436,1,1,1,6249,tutor,algebra,5948,13241,126,MasterySection,5948,1,Box and Whisker,22763,73,0,3,6249,30799,,46,0,,2,2
32871676,277618,70707,33136,51421,1,1,1,5710,tutor,algebra,5948,13241,126,MasterySection,5948,1,Box and Whisker,22763,73,0,3,5710,30059,,47,0,,1,1
32871682,277618,70707,33111,51396,1,1,1,4741,tutor,algebra,5948,13241,126,MasterySection,5948,1,Box and Whisker,22763,73,0,3,4741,30059,,70,0,,2,2
33140490,277618,70727,33123,51408,1,1,1,13816,tutor,algebra,5948,13241,126,MasterySection,5948,1,Box and Whisker,22763,73,0,3,13816,30059,,55,0,,1,1
33140547,277618,70727,33117,51402,1,1,1,7441,tutor,algebra,5948,13241,126,MasterySection,5948,1,Box and Whisker,22763,73,0,3,7441,30059,,82,0,,2,2
33392795,277618,70729,33169,51454,1,0,2,12898,tutor,algebra,5948,13241,126,MasterySection,5948,1,Box and Whisker,22763,73,0,4,27650,30060,,14,0,,1,1
33392817,277618,70729,33175,51460,1,1,1,10955,tutor,algebra,5948,13241,126,MasterySection,5948,1,Box and Whisker,22763,73,0,4,10955,30060,,6,0,,2,2
33392838,277618,70729,33140,51425,1,0,2,27857,tutor,algebra,5948,13241,126,MasterySection,5948,1,Box and Whisker,22763,73,3,3,39933,30799,,16,0,1,3,3
